filename,brand_name,class_type,alcohol_content,net_contents,bottler_info,country_of_origin
label_26_red_barn_match.png,RED BARN FARMS,Apple Brandy,40% Alc./Vol. (80 Proof),750 mL,"Red Barn Farms Distillery, Asheville, NC",
label_27_red_barn_case_diff.png,RED BARN FARMS,Apple Brandy,40% Alc./Vol. (80 Proof),750 mL,"Red Barn Farms Distillery, Asheville, NC",
label_28_red_barn_bad_warning.png,RED BARN FARMS,Apple Brandy,40% Alc./Vol. (80 Proof),750 mL,"Red Barn Farms Distillery, Asheville, NC",
label_29_red_barn_wrong_abv.png,RED BARN FARMS,Apple Brandy,40% Alc./Vol. (80 Proof),750 mL,"Red Barn Farms Distillery, Asheville, NC",
label_30_red_barn_skewed.png,RED BARN FARMS,Apple Brandy,40% Alc./Vol. (80 Proof),750 mL,"Red Barn Farms Distillery, Asheville, NC",
label_31_northwind_match.png,NORTHWIND DISTILLERY,Straight Rye Whiskey,45% Alc./Vol. (90 Proof),750 mL,"Northwind Distillery, Spokane, WA",
label_32_northwind_case_diff.png,NORTHWIND DISTILLERY,Straight Rye Whiskey,45% Alc./Vol. (90 Proof),750 mL,"Northwind Distillery, Spokane, WA",
label_33_northwind_bad_warning.png,NORTHWIND DISTILLERY,Straight Rye Whiskey,45% Alc./Vol. (90 Proof),750 mL,"Northwind Distillery, Spokane, WA",
label_34_northwind_wrong_abv.png,NORTHWIND DISTILLERY,Straight Rye Whiskey,45% Alc./Vol. (90 Proof),750 mL,"Northwind Distillery, Spokane, WA",
label_35_northwind_skewed.png,NORTHWIND DISTILLERY,Straight Rye Whiskey,45% Alc./Vol. (90 Proof),750 mL,"Northwind Distillery, Spokane, WA",
label_36_crystal_springs_match.png,CRYSTAL SPRINGS,White Rum,40% Alc./Vol. (80 Proof),750 mL,"Crystal Springs Distillers, Austin, TX",
label_37_crystal_springs_case_diff.png,CRYSTAL SPRINGS,White Rum,40% Alc./Vol. (80 Proof),750 mL,"Crystal Springs Distillers, Austin, TX",
label_38_crystal_springs_bad_warning.png,CRYSTAL SPRINGS,White Rum,40% Alc./Vol. (80 Proof),750 mL,"Crystal Springs Distillers, Austin, TX",
label_39_crystal_springs_wrong_abv.png,CRYSTAL SPRINGS,White Rum,40% Alc./Vol. (80 Proof),750 mL,"Crystal Springs Distillers, Austin, TX",
label_40_crystal_springs_skewed.png,CRYSTAL SPRINGS,White Rum,40% Alc./Vol. (80 Proof),750 mL,"Crystal Springs Distillers, Austin, TX",
label_41_highland_mist_match.png,HIGHLAND MIST,Blended Scotch Whisky,43% Alc./Vol. (86 Proof),750 mL,"Highland Mist Distillers, Speyside, Scotland",Scotland
label_42_highland_mist_case_diff.png,HIGHLAND MIST,Blended Scotch Whisky,43% Alc./Vol. (86 Proof),750 mL,"Highland Mist Distillers, Speyside, Scotland",Scotland
label_43_highland_mist_bad_warning.png,HIGHLAND MIST,Blended Scotch Whisky,43% Alc./Vol. (86 Proof),750 mL,"Highland Mist Distillers, Speyside, Scotland",Scotland
label_44_highland_mist_wrong_abv.png,HIGHLAND MIST,Blended Scotch Whisky,43% Alc./Vol. (86 Proof),750 mL,"Highland Mist Distillers, Speyside, Scotland",Scotland
label_45_highland_mist_skewed.png,HIGHLAND MIST,Blended Scotch Whisky,43% Alc./Vol. (86 Proof),750 mL,"Highland Mist Distillers, Speyside, Scotland",Scotland
label_46_sunny_acres_match.png,SUNNY ACRES,Coffee Liqueur,24% Alc./Vol.,750 mL,"Sunny Acres Distillery, Sacramento, CA",
label_47_sunny_acres_case_diff.png,SUNNY ACRES,Coffee Liqueur,24% Alc./Vol.,750 mL,"Sunny Acres Distillery, Sacramento, CA",
label_48_sunny_acres_bad_warning.png,SUNNY ACRES,Coffee Liqueur,24% Alc./Vol.,750 mL,"Sunny Acres Distillery, Sacramento, CA",
label_49_sunny_acres_wrong_abv.png,SUNNY ACRES,Coffee Liqueur,24% Alc./Vol.,750 mL,"Sunny Acres Distillery, Sacramento, CA",
label_50_sunny_acres_skewed.png,SUNNY ACRES,Coffee Liqueur,24% Alc./Vol.,750 mL,"Sunny Acres Distillery, Sacramento, CA",
